"Patient_ID","First_name","Last_name","Gender","Birth_date","City","Province","Nationality","Street_name","Street_number","Zip_code","Insurance_code","Mother_national_code","Father_national_code"
"2125671333","Mona","Karami","f","2001-01-12","Shiraz","Fars","Iranian","Mollasadra","10","7231478910","1222415677","2241000123","2011189167"
"2200710956","Atoosa","Nazari","f","1995-10-04","Shiraz","Fars","Iranian","Modarres","24","7456673221","","",""
"2231456777","Nazanin","Faridi","f","1970-02-29","Shiraz","Fars","Iranian","Akbari","3","7123476128","2245611706","2245611756","2245611122"
"2270884511","Hassan","Tabrizi","m","1960-06-27","Tabriz","Tabriz","Iranian","Moallem","12","4521443228","9876412343","",""
"2280441453","Ali","Karimi","m","1990-01-11","Shiraz","Fars","Iranian","Naderi","2","7156876458","1145672344","1122244423","1122244424"
"2431456778","Zahra","Faridi","f","1985-05-13","Shiraz","Fars","Iranian","Zand","12","7145689123","2231456889","2280441451","2260334511"
"2823431190","Reza","Ahmadi","m","1994-12-04","Jahrom","Fars","Iranian","Khalili","103","6544410321","6312187655","",""
"3145678911","Amir","Kazemi","m","1997-07-17","Marvdasht","Fars","Iranian","Akbari","14","6512368900","","",""
"3301554009","Samaneh","Saberi","f","1999-05-15","Shiraz","Fars","Iranian","Allahyari","45","8976686544","","","3441221567"
"4054416789","Samira","Hajipour","f","1989-08-09","Shiraz","Fars","Iranian","hafezi","123","6788765433","","3041456787",""
